ID,RegionName,NVotes,Leave,Residents,Households,MeanAge,AdultMeanAge,Age_0to4,Age_5to7,Age_8to9,Age_10to14,Age_15,Age_16to17,Age_18to19,Age_20to24,Age_25to29,Age_30to44,Age_45to59,Age_60to64,Age_65to74,Age_75to84,Age_85to89,Age_90plus,White,Black,Asian,Indian,Pakistani,Owned,OwnedOutright,SocialRent,PrivateRent,NoQuals,L4Quals_plus,Students,Unemp,UnempRate_EA,HigherOccup,Density,Deprived,MultiDepriv
333,South East,2498,1432,5137,2005,36.8,45.3,7,3.4,2.3,6.3,1.3,3,2.3,5.7,6.8,23.1,23.3,6.2,6.5,2.3,0.4,0.2,91.4,1.6,6.1,1.7,0.3,83.7,21,8.3,7.4,13.7,28.2,2.8,2.6,3.2,41.6,13.4,41.5,12.6
334,North West,9051,4142,13061,5827,45.6,53.9,4.3,3,1.8,5.7,1.1,2.4,1.8,4.4,4,16.2,21.5,8.1,12.9,9.7,2.1,1,98,0.4,1.4,0.2,0.2,84.9,37.2,6.6,7.8,21,29.3,2.8,3.2,4.9,39,13.1,57,23.5
335,London,6346,2580,16813,6962,33.3,42.8,8.7,4.7,2.6,6.9,1.5,3.1,2.7,6.9,7.4,24.6,19.8,3.1,4.4,2.7,0.5,0.3,44.9,40.3,11,3.2,1.7,52.5,12.9,20.7,23.8,17.1,29,6.7,7.4,9.9,33.9,79.6,61.2,27.2
336,Yorkshire and The Humber,8926,5007,14447,6289,41,49.1,5.6,3.3,2.3,5.4,1.2,2.2,2,4.8,5.3,21.1,24.1,7.6,8.4,4.7,1.4,0.6,97.2,0.8,1.4,0.3,0.5,80.3,30.1,2.7,15,18.8,29.4,2.6,3,4,38,2.5,48.5,17.9
337,North West,7953,3958,14357,6492,37.1,46.7,7.7,4,2.5,6.2,1.4,3.2,2.6,7.1,7.2,20,18.7,5.2,7.3,4.8,1.3,0.7,96.6,0.9,2.1,0.3,0,45.7,16.4,31.2,21.1,31.6,13.7,3.4,8.3,13.5,19.3,49.4,71.4,40.6
338,East of England,3201,1366,7143,3377,37.5,43.9,6.2,2.8,1.5,3.9,0.9,2.3,2.6,10.4,11,24.3,16.6,3.8,5.6,5.1,1.8,1.3,73,7.7,17,3.1,1.7,40.5,15.3,18.1,39.5,21,33.1,8.7,6.3,8.7,35.8,51.6,61.5,29.1
339,London,7770,3885,14782,5555,37.5,46.9,6.1,3.8,2.7,7.4,1.8,3.1,2.9,6.6,5.9,19.3,21.7,5.5,7.2,4.5,1.1,0.4,63.3,21.3,12.5,4.2,1.8,66.9,22.5,21.6,10.1,19.5,27.3,5.4,4.7,6.5,35.3,55.8,57.6,23.4
340,North West,1977,1331,4357,1957,40.2,48.8,6.5,3.5,2.6,5.1,1.4,2.2,2.3,6.3,7.8,19.4,18.6,6.5,8.6,6.2,1.9,1.1,95,0.6,3.6,0.7,1.6,60.7,21.6,16.2,21.6,32.8,16.1,3.4,5.7,8.8,22.4,18.5,66.5,35.7
341,North West,1363,953,4602,2164,37.6,46.6,7.8,3.8,2.3,5.4,1.2,2.7,3,7.7,7.7,19.5,18.1,5.5,8,4.7,1.4,1,97.4,0.5,1.8,0.3,0.1,49.1,20.4,17.6,32,35.1,10.5,2.9,8.3,13.9,14.7,52.4,75.6,44.5
342,East of England,5465,3268,9896,4237,40.7,49.4,6.9,3.3,2.1,5.3,1.1,2.4,2.6,6.2,6.9,19.3,17.7,5.2,9.7,9.1,1.5,0.6,95.3,2.3,1.7,0.1,0,53.3,22.5,38.4,7.1,36,12.7,2.2,5.5,8.5,19.3,44.2,68.4,32.9
343,East of England,3955,1889,4343,1749,40.8,50,5.6,3.6,2.3,6.5,1.3,3,1.7,4.6,4.7,19.5,23.2,7.8,9.3,5.2,1.1,0.5,90.7,2.7,5.8,2.9,0.5,77.5,29.9,10.3,10.6,13.7,39.6,2.4,2.1,2.8,49.1,1,41.6,13.1
344,London,10232,3870,17398,7704,35.6,44.1,7.8,3.8,2.2,5.8,1.2,2.6,2.1,6.2,7.7,26.9,19.5,4.6,5.6,2.9,0.8,0.3,65.4,23.9,7.6,1.8,0.6,49.4,15.3,29.9,19.1,17,36.5,5.8,6.3,8.5,39.6,60.3,58.1,25.9
345,West Midlands,3626,2475,6617,2924,42.1,50.2,5.6,3.3,1.8,5.5,1.1,2.3,2.1,6.1,5.7,18.8,20.3,7.2,10.9,6.4,1.7,1,98,0.6,1.1,0.3,0.1,74.4,28.8,8.6,15.5,28.5,17.2,2.3,4.2,6,26.7,33.4,60.7,28.1
346,South East,2267,1336,2404,981,43.7,52,4.9,3.3,1.8,5.4,1.3,2.4,1.6,4.3,4.1,16.5,24.5,10.1,13.1,5.1,1.3,0.3,97,0.9,1.7,0.1,0,81.4,34.5,8.6,7.9,19.4,24.5,2,2.6,3.7,38.7,2,48.4,17
347,East of England,6115,1352,9336,4113,34.7,39.5,4.9,2.6,1.8,3.7,0.7,1.3,3.1,20.1,10.1,22.2,15.7,4.6,4.5,2.6,1,0.7,93.3,1.8,3.6,0.9,0.2,54.5,21.6,4.1,40.3,6.9,51.3,23.9,2.7,3.7,57.6,82.6,35.9,10.5
348,West Midlands,2054,1229,3811,1626,46.3,54,4.3,2.7,1.8,4.7,0.9,2.6,1.4,4.4,3.7,16.8,21.8,9.1,14.8,7.9,2.1,1,97.5,0.9,1.4,0.7,0,78.2,39.2,9.2,11.2,21.5,28.7,2,2.5,3.7,40.3,1,53.2,19.8
349,South West,5136,3054,8224,3322,36.4,45,7.2,4,2.1,6.3,1.2,2.5,2.7,6.6,7.8,22.4,21.1,5.7,6.6,3.2,0.5,0.2,98.2,0.7,0.7,0.2,0,74.9,21.4,4.4,18.6,13.1,23.7,3.1,2.4,3.1,33.4,54.8,44.6,15
350,East of England,3225,1681,5453,2315,39.2,47.5,6.2,3.1,2,5.9,1.4,2.7,2,5.6,7.4,23.4,19.3,6,7,5.1,1.9,1.1,93.7,2.5,3.3,0.6,0.2,67.5,22.1,17.3,14.3,21.4,27.2,2.1,2.5,3.2,34.4,38.1,53.1,20.2
351,West Midlands,3782,2733,7087,3107,39.3,47.5,6.2,3.2,2.2,5.6,1.1,2.5,2.5,6.4,6.4,21.7,20.9,6,8.2,5.4,1.2,0.5,97.7,0.9,1.1,0.5,0,62.2,21,21.2,15.4,30.7,15.2,2.6,5.3,7.6,21.7,7.1,66.1,33.6
352,North West,8040,4327,14921,6812,40.9,49.2,5.7,3.3,2.1,5.9,1.2,2.3,2.4,5.7,6.1,20.1,21.8,6,8.6,6.2,1.8,0.9,96.8,1.1,1.6,0.2,0,68.2,24.6,5.4,25.3,21.8,25.5,3.3,5.9,8.7,32.6,65.4,61.9,28.5
353,London,7239,3228,19812,6986,29.6,39.6,11.7,5.8,3,7,1.2,2.2,2.4,7,9.1,29,14.3,2.6,2.7,1.4,0.4,0.2,42.4,46.3,8.4,1.5,0.7,33.7,5.3,34.7,28.4,18.7,32.4,8.5,7.5,10.7,27.3,51.8,66.1,28.5
354,East Midlands,2463,1692,6092,2527,39.3,47.6,6.3,3.3,2.1,5.7,1.4,2.4,2.7,6.9,6.3,21.1,19.5,6.6,8.4,4.7,1.5,0.9,98,1,1.1,0.3,0,73.4,27,11.2,14.3,28.7,16.3,2.8,5.2,7.3,24.9,42.1,61.1,27.9
355,London,7805,3182,13505,4813,39.6,48.8,5.4,3.6,2.3,7.1,1.8,3.2,2.2,5.9,5.1,18.6,23.3,6.3,8.4,4.8,1.3,0.8,74.8,7.7,15.2,6.9,2.1,84.7,28.6,4.5,10.1,15.1,34.9,4.1,3.4,4.6,45.4,27.7,45.7,15.2
356,London,4962,1587,13584,5625,33.8,39.3,5.2,3.3,2,4.5,0.8,1.6,4.7,17.2,10.1,22.9,14.6,3.3,4.7,3.6,0.9,0.5,55.7,11.9,26.1,3.2,0.7,19.5,9.8,48.4,29.9,17.5,36.1,23.5,4.9,8.3,42.2,103.2,72.6,35.1
357,London,4658,1660,9903,3630,37.6,46.3,7.8,3.6,2.2,5.8,1,2.3,1.9,5.3,7.4,25.7,18.5,5.1,6.7,4.8,1.2,0.7,70,4.6,22.3,3.5,2.8,74.4,25.9,5.2,18.8,13.9,41.9,5.6,3.5,4.6,47,52,47.1,16.8
358,North West,6986,3927,15279,6918,36.2,46,8.1,4.2,2.5,7,1.4,2.8,2.9,7.1,7,19.8,18.7,5.1,7.9,4.2,0.8,0.5,96.3,1,2.2,0.6,0.2,37.4,12.4,44.1,17.3,38.2,12.4,3.8,9,15.5,16.8,23.3,74.1,44.8
359,South East,4654,2683,8575,3694,39.8,47.8,6,3.5,2.1,5.4,0.9,2.2,2,6.3,8.3,21,19.4,7.2,8.2,4.9,1.5,1.1,91.8,1.8,6,1.1,0.5,70.6,27,7.2,20.7,18.4,26.4,3,3,4,36.7,52.6,52.3,19.3
360,North West,5031,2681,9733,3947,42.4,51.3,5.9,3.6,1.9,6,1.3,2.2,2.2,5.4,4.9,18.1,20,7.3,11.1,7.1,1.9,1,79.8,1.1,18.4,1.1,13.9,79.7,35.5,8,11.1,21,33.5,3.8,3.2,4.8,41.4,22.8,52.4,19.6
361,East of England,3497,2123,9073,3679,34.8,44.4,9,4.8,2.1,6.1,1.4,2.7,2.2,6.8,8.5,24.2,17,3.5,5.9,4.2,1.1,0.5,73.4,9.9,14.9,4.7,1.7,50.7,14.7,31.3,16.1,28.2,17.4,4.1,6.4,8.8,22.1,23,64.7,29.4
362,East of England,3607,905,9165,3438,38.5,45.5,5.3,2.9,1.9,5.4,1.2,2.6,4.6,11.2,6.9,18.9,18.6,4.9,6.8,5.8,2,1,81.7,2,13.9,4,0.7,63.8,31.1,16.1,17.8,10,54,17,1.7,2.6,61.1,20.8,45.9,13.1
363,East of England,3446,1396,8817,3691,39,47.3,7.4,3.1,1.8,5.2,1.2,2.2,2.3,5.5,7.4,24.5,18,5.6,7.7,4.9,2.1,0.9,78.8,2.7,15.9,5.6,0.7,58.5,23.7,22.7,17.4,19.2,37.8,4.9,3.3,4.4,42.3,24.5,54.8,22.4
364,London,7204,2674,16545,6080,36.9,45.8,7.3,4.1,2.3,6,1.3,2.5,2.4,6.9,8.7,20.9,19.5,4.7,6.8,5,1,0.6,37.7,28.1,30,12.1,8.7,59.9,21.5,12.2,25.4,16.2,34.1,7.4,5.4,7.6,35.7,67.4,60.4,25
365,West Midlands,7078,5108,15849,6428,36,45.2,8.3,3.8,2.6,6,1.3,2.7,2.8,7.1,7.6,21.7,19.1,4.8,7.1,3.8,0.9,0.5,76.3,5.4,16.2,11.4,0.8,57.1,20.1,25,16,34.6,14,3.6,7.9,11.5,20.3,33.8,67.9,35.3
366,North East,4464,2649,9213,4334,39.3,47.5,6.1,3.6,2.4,5.2,1.4,2.1,2.2,6.8,7.3,20,21.4,5.8,8.9,5,1.1,0.7,81.8,1.6,14.1,1,1.3,55.5,19.5,26.5,16.4,30.5,20,4.2,8.1,12.3,23.5,38,66.2,33.4
367,East of England,3343,2173,7454,3274,39,47.8,7.6,3.4,1.8,5.8,1.1,2.5,2,6.6,8.6,19.8,19.5,4.5,6.8,7.2,1.9,0.8,85.9,5.9,7.5,1.5,1.4,48.3,14.3,37.5,13.1,29,15.3,3.3,6.2,8.4,25.4,31.2,69,32.2
368,London,5173,1373,10366,4587,34.7,40.4,7.5,2.8,1.5,3.4,0.6,1.3,1,6.6,16,34,13.7,3.1,4.1,3,0.9,0.5,73.4,6.2,16.1,4,2.1,47.8,16.7,13.6,37.4,10.1,55.4,5.4,3.2,4,58.6,76.3,47.2,18.3
369,Yorkshire and The Humber,5149,3956,12781,5297,36.3,46.9,8.9,4.8,2.6,6.9,1.4,2.7,3,7.4,6.6,17.6,18.4,5.6,7,5.2,1.3,0.6,98.3,0.5,0.9,0.2,0,46.6,16,40.9,11.4,41.4,8.5,3.6,10.9,17.8,12.7,45.8,75.1,40.2
370,North West,5308,3248,10440,4248,38.6,47.8,6.7,3.7,2.3,6.6,1.3,2.8,2.2,5.4,5.2,21.6,21.5,7,8.1,4.1,1,0.4,94.7,1.2,4,0.3,2.2,80.3,26.3,6.5,12.4,20.2,26.5,3.3,2.9,3.9,36.7,7.1,50,18.7
371,London,6722,3409,13819,5663,36.8,46.3,7.9,4.4,2.6,6,1.4,2.5,2.2,5.9,6.9,23.5,18.7,4.9,6.9,4.3,1.2,0.8,76.6,11.6,7.6,2,0.4,61.1,20,20.4,16.1,22.4,28.1,4.5,5.6,7.9,34.9,8.3,60.6,27.9
372,North West,5619,3600,11652,5057,39,47.7,6.1,3.4,2.3,6.2,1.5,2.8,2.7,6.4,6.1,20.8,20.7,5.9,7.9,5.3,1.3,0.6,93.8,2.5,3.1,0.4,1,66.9,23.1,20.1,11.2,27.7,18.7,3.4,6.2,8.9,25.8,13.9,62.9,31.6
373,London,5434,1582,12415,5276,35,42.4,6.9,3.4,2.5,5.7,1,2.1,2.3,9,11.4,26.4,14.2,4,5.6,4,0.9,0.6,62.9,14.4,16.8,1.3,0.6,23.7,10.9,53.5,20.9,18.6,43.1,10.4,5.8,8.7,44.8,174,68.1,34.7
374,North West,5518,3520,10488,4702,39.6,47.7,5.6,3.1,2,6.2,1.3,2.7,2.7,6.2,7.2,20.2,21.1,5.7,8,5.8,1.4,0.7,95,2.2,2.5,0.3,0.6,71.4,24.3,15.5,11.7,29.3,16.8,3.6,5.5,7.7,25.8,41.5,63.6,31.3
375,Yorkshire and The Humber,9198,6000,16183,7124,41.2,49.6,5.9,3.4,2,5.6,1.2,2.3,2.1,5,5.3,21.5,20.6,7.4,9.7,5.8,1.6,0.7,97.6,0.8,1.2,0.4,0.2,72.3,27,15.3,11.6,25.5,20.4,2.1,3.9,5.4,30.5,13.6,56.9,24.1
376,London,5110,2627,10457,3993,36.6,45.6,7,3.9,2.6,6.9,1.2,2.7,2.6,6.5,7.5,24,17.4,4.3,6.1,5,1.5,0.7,65,9.6,22.7,2.4,7.1,51.5,15.5,29.4,17.1,23.7,23.4,6.2,4.8,6.8,28.8,58.2,66.5,31.7
377,North West,4674,2882,11517,4693,34.2,45,9,5.2,3.1,7.4,1.4,2.9,3,6.7,7.8,21.4,15.2,4.9,6.6,3.8,1,0.5,73.9,1.9,23.7,0.4,15.8,47.3,13.5,39.9,11.4,36.1,12.3,4.2,7.6,12.9,17.4,32.7,74.8,42.2
378,London,6251,1564,13769,5982,33.6,42.3,9.1,4,2.5,5.7,1.2,2.3,2.1,6.3,8.7,29.6,17.1,3.3,4.5,2.6,0.7,0.3,55.1,34.6,5.8,1.3,0.4,36.7,8.2,36.4,25,18.4,39.3,6,7.1,9.5,41.6,89.9,59.3,27.9
379,East of England,5667,2876,9192,3856,42.1,51.4,5.9,3.9,2.2,6.2,1.2,2.4,1.7,4,4.5,19.9,21.1,7.2,10,6.4,2.2,1.1,97.4,0.8,1.5,0.2,0,86.8,34.8,1.1,11.4,15.1,33.3,2.4,2.7,3.7,49.7,30.8,42.9,12.9
380,London,6384,1697,14396,5372,35.4,43.7,7.8,3.7,2.4,5.6,1.3,2.4,2.3,7.4,9.9,24.4,18.2,4,5.6,3.7,1,0.5,47.5,31.2,17.4,6.2,5.4,51.1,18.1,14,32.7,17,34.8,7.3,6,8.2,35.2,86.9,62.9,27.6
381,East Midlands,6268,4308,16224,7143,36.1,46.1,8.7,4.3,2.4,6.5,1.3,2.8,2.8,7.3,7,20.4,18,5.4,6.9,4.1,1.2,0.8,84.6,11.6,2.5,0.7,0.4,45.8,14.6,37.9,14.8,39.2,10,3.6,9.4,14.3,15.6,31,73.3,39.6
382,East of England,3361,1489,5269,2212,41.7,50.2,5.8,3.3,2.2,5.7,1.2,2.4,1.9,4.7,5.6,19.9,22.6,7,8.2,6.5,1.9,1.2,93.2,1.4,4.5,1.3,0.3,72.4,28.4,14.1,12,15.4,39.1,2.7,2.8,3.7,49.5,2.8,45,14.1
383,North West,5883,3315,10280,4584,42.2,49.9,5.4,2.8,1.8,5.1,1.4,2.5,2.2,5.4,6.1,19.5,21.2,7.2,10.7,6.3,1.6,0.8,95.8,1.2,2.4,1.1,0.1,77,29.4,10.7,11.1,21.7,25.8,3.3,3.7,5.3,34.8,28.6,55.3,24.3
384,South East,4345,2604,9730,4099,35.4,43.3,7.4,3.6,1.8,5.7,1.2,2.7,3.1,8.7,10.8,22.4,16.8,4.1,5.7,4.4,1.3,0.4,89.1,3,6.8,0.9,0.7,48.5,16,22.9,26.8,22.2,22.2,3.8,6.1,8.1,29.6,51.8,62.7,28.3
385,South West,6193,3388,15851,8581,37.6,42.1,5.3,2,1,2.7,0.6,1.4,4.8,15.7,11.9,19,16.9,4.9,7,4.9,1.4,0.6,90,2.9,4.9,0.7,0.2,22.7,10.3,34.5,40.8,22.8,25.2,16.4,7,11.4,27.9,52.4,72.5,37.3
386,West Midlands,11402,4891,27864,9335,35.2,43.8,6.7,3.8,2.6,6.8,1.4,3.2,3.3,8.4,9.1,21.1,18.3,3.8,5.5,4.3,1.1,0.5,22.9,19.4,52.4,32.6,8.7,66.5,28.9,11.9,19.7,25,24.6,9.9,7.8,11.5,25.8,40.2,69.1,33.7
387,Yorkshire and The Humber,7517,5089,16620,6978,38.3,47.9,7.1,3.9,2.4,6.8,1.4,2.8,2.7,6.3,5.8,19.9,19.3,6.3,8.3,5,1.4,0.6,92.3,1.5,6,0.4,2.8,66.4,22.9,18.9,13.3,30.9,13.8,3.2,5.8,8.4,21.3,20.2,65,31.9
388,West Midlands,6604,3986,12240,5225,41.1,50,5.4,3.5,2.2,6.7,1.3,2.7,2,5.3,5.1,20.3,20.1,6.7,9.7,5.9,2.1,0.9,80.6,5.4,12.8,9.3,0.7,74.1,29.4,17.1,7.8,25.3,24.8,3.4,5.7,8.2,32.5,51.1,60.2,28.3
389,North West,5556,3567,12117,5256,36.5,45.8,7.4,4.1,2.4,6.3,1.5,3.1,2.7,6.8,7.8,21.2,18.7,4.6,7.1,4.5,1.2,0.6,93.8,3,2.3,0.3,0.4,50.4,16.6,35.9,12.2,31.2,15.6,4.1,6.2,9.3,22.5,32.2,67.3,35.8
390,Yorkshire and The Humber,5121,3833,12842,5414,35.3,44.4,7.8,4.2,2.7,6.2,1.4,2.8,3,8.2,8.3,20.9,18.6,4.6,6.4,3.4,0.8,0.6,97.7,0.7,1,0.1,0,60.1,18.3,3.7,35.4,29.5,11.6,3.4,7.6,10.8,16.9,68.5,65.1,30.7
391,London,4414,2051,11390,3677,37.3,46.5,6.5,4.1,2.6,6.9,1.2,3.3,2.6,6.1,6.5,21.3,20.7,5.4,7.4,4.1,1,0.4,41.3,6.7,47.8,34.3,2.8,78.8,27.6,3.4,16.7,15.1,36.4,6.4,3.8,5.3,42.1,65.7,48.9,18
392,Yorkshire and The Humber,4745,2164,15422,4940,30.7,41.8,10.4,5.6,3.5,8.4,1.7,3.3,3.1,8.1,9.1,22.2,13,2.9,4.3,3.1,0.8,0.5,28.1,1.6,69.1,0.8,62.3,63.3,30.4,13.8,20,37.3,12.6,7.4,8.8,15.5,13.9,71.6,79.3,45.2
393,London,7256,4221,15375,6367,41.7,50.9,6.1,3.7,2.2,5.9,1.3,2.5,2.5,5.7,5,18,19.8,6.2,10.3,7.9,2,1,87.4,5.6,5.7,1.3,0.2,73.2,32.4,17.6,7.6,22.3,27.1,3.2,4.2,6.1,38.8,37.1,57.3,23
394,East Midlands,6291,4001,16823,7595,36.3,45.4,8.2,3.8,2.1,6,1.4,2.6,2.8,7.8,8.1,21.4,17.1,4.4,7.6,5.2,0.9,0.5,80.6,14.1,4,1.2,0.6,48.8,14.9,36.8,13,35.7,13.3,4.1,8.8,13,18.1,58.7,71.2,37.6
395,London,10075,4746,14893,6109,42.9,51.6,5.5,3.3,2.1,5.8,1.3,2.4,1.9,4.6,4.9,20.1,20.3,6.3,9.7,7.7,2.3,1.8,88,3.1,7.3,2.4,0.6,82,34,5.9,10.7,15.8,38,3.4,2.7,3.8,51.1,14.6,45.6,14.5
396,London,6761,2739,19200,8178,31.2,39.5,9.7,4.3,2.4,6.1,1,2.1,2.5,8.9,11.2,29.1,13.6,2.9,3.4,2,0.6,0.3,51,31,14.3,2.5,1,18.6,4.6,51.9,24.8,19.9,35.2,10.6,7.8,10.8,34.8,77.6,68.8,31.9
397,West Midlands,6550,4846,11497,4857,42.2,50,5.1,3,2,5.3,1.2,2.4,2.3,5.8,6.1,18.5,20.6,7.6,11.9,6.3,1.3,0.5,89.5,3.2,6.4,4,0.6,75.8,34.8,14.5,8.8,34.2,13.8,2.9,5.3,7.9,22.4,31,65.6,31.9
398,North West,5235,3057,9991,4539,40.9,49.7,6.5,3.3,2,5.8,1.3,2.5,2.3,5.7,5.4,18.2,21.7,7.5,10.5,5.8,1.1,0.5,97.1,1.5,1.2,0.3,0.2,62.3,24.3,26.9,9.6,30.3,20.8,2.4,4.9,7.6,28.4,10.1,63.7,33
399,London,7067,3312,13060,5544,41.3,49.1,5.5,2.9,2,5.4,1.1,2.4,1.9,5.6,7.1,21,20.6,6,9.2,6.7,1.9,0.8,79.2,6.4,10.4,3.9,0.6,74.7,31.6,8.1,16,18.7,35.1,4.5,3.8,5.4,44.5,26.4,53.3,19.7
400,West Midlands,6285,4662,13419,5694,36.9,46.5,8.2,4.2,2.4,6.2,1.5,2.5,2.8,6.9,7.7,20.6,16.8,5.1,8.1,5.2,1.4,0.4,79.5,7.9,11.3,8.9,0.4,44.6,17.9,41.6,11.6,43,11,3.6,9.8,15.5,15.9,29,76.5,44.6
401,South East,5132,2713,5777,2237,39.1,50,5.5,3.5,2.5,9.1,2.3,4.4,2.3,3.7,3.7,20.2,21.6,5,7.6,6,1.5,1.1,90.4,1.7,6.2,2.1,0.4,79.4,27.6,5.4,13.1,14.9,35.1,3.1,2.6,3.5,50.1,3.5,41.8,13.6
402,South East,2529,1155,5275,2104,41.2,50.1,5.2,3.3,2.5,6.9,1.3,2.6,1.6,4.5,5.2,21.8,21.1,6.5,8.6,5.6,2.1,1.3,91.6,3.3,4.4,0.6,0,75.8,26.9,9.3,12.8,16.1,38.8,2,2.3,3.1,49.8,4.5,44.2,14.4
403,North West,2741,1299,6826,2477,32.1,42.5,9.4,4.8,3.3,7.7,1.7,3.4,2.6,7.1,8.9,23.3,15.2,3.8,4.8,3.1,0.5,0.1,42.8,1,53.5,27.4,20.2,59.8,32.6,21.5,16.4,31.9,17.5,6.3,6.5,10.7,20.1,18.3,69.4,35.7
404,London,5447,1175,12110,5882,35.1,39.6,5.5,2.1,1.3,3,0.6,1.4,1.5,7.1,18.2,34.4,12.7,3.8,5.1,2.4,0.6,0.4,69.5,10.6,14.7,3.4,0.9,32.2,14.1,24,42.2,9.5,60.6,6.8,4.2,5.4,61.2,139.9,57.6,22.7
405,Yorkshire and The Humber,5746,4255,11884,5507,41.7,49.5,4.8,2.8,1.9,6,1.3,2.5,2.7,6.3,6.3,18.8,21,6.2,10.1,6.6,1.9,0.9,96.9,1.4,1.1,0.2,0.3,53.1,17.5,38.3,7.3,35.6,9.7,2.8,6.5,9.9,16.8,19.1,71,38.2
406,West Midlands,13643,6064,26539,9559,37.8,47.6,6.9,4.1,2.7,7,1.4,2.9,2.5,6.1,6.4,20.7,18.9,5.1,7.7,5.6,1.3,0.7,55.8,3.7,38.1,12.3,18.5,79.2,30.8,5.5,13.9,23,27.3,5.2,5,7.4,33.2,53.4,58.8,25.6
407,London,6732,2425,15225,5815,37.2,45,6.6,3.2,2.3,5.6,1.1,2.2,2.3,7.4,9.4,23.3,18.3,4.8,7.4,4.4,1.1,0.4,64.6,12.2,14.9,6.1,1.7,64.1,24.9,7.5,26.1,20.6,33.5,7.2,5,7.1,36.2,80.4,61.5,27.7
408,North West,4089,2659,10465,4447,36.3,46.4,7.9,4.6,2.7,6.9,1.5,3,2.5,7.1,6.4,20.6,18.5,5,7.4,4.4,1.1,0.4,85,3.3,11.2,0.5,7.8,49.1,16.5,38.2,11.2,31.3,16.2,4,8.4,13.2,21.7,21.2,69.4,39.1
409,West Midlands,3256,1711,5060,2272,41.6,49,4.4,3.4,1.9,5.5,0.8,2.3,2.2,5.4,7.1,21.1,20.4,7.5,9.6,5.8,1.6,0.8,95.6,1,3,0.3,1.2,74.2,28.3,11.8,12.1,22.9,27,3.2,2.8,3.8,33.8,34.7,52.6,21.4
410,East of England,4093,2160,7597,3029,41.1,50.4,5.8,3.4,2,6.7,1.6,2.8,2.4,5.2,5.2,18.8,19.6,7.1,10.2,6.4,1.7,1.1,82.6,5.2,10.8,6,0.7,62.8,24.2,30.5,6.2,24.3,27.1,3.3,4.6,6.6,36.3,13.2,56.8,23.3
411,West Midlands,7135,4658,12224,5141,40.6,49.1,5.8,3.4,2.2,5.8,1.2,2.7,2.6,5.8,6.2,19.8,20.2,5.7,9.6,6.8,1.6,0.6,82.9,2.9,12.8,5.5,4.4,76.3,32,11.6,10.9,28.1,19.6,3.2,4.7,6.7,29.1,36.7,60.3,26.7
412,West Midlands,11480,6695,26033,10821,37,46.9,8,4.2,2.4,6.9,1.5,2.9,2.9,6.7,6.8,20.3,17.9,4.6,7.3,5.6,1.5,0.7,80,8.2,9.3,2.2,1.3,51.8,18.7,33.8,12,30.3,23.3,5.3,7.9,11.9,27.9,44.7,66.9,34.1
413,Yorkshire and The Humber,8279,5056,14595,6140,42.9,51.1,4.3,2.8,2,6.4,1.3,2.8,2.1,5.1,4.4,18.8,22.8,7.5,10.2,6.5,2,0.9,96.7,1,2,0.4,0.7,78.6,31.1,13,7.3,25.4,22.9,2.1,3.6,5.1,33.6,14.5,56.7,23.4
414,London,5528,1687,13324,4985,33.2,41.7,9.1,4.3,2.6,5.3,1.1,2.2,2,6.4,10.5,30.1,15.4,3,4,2.9,0.6,0.5,48.2,18.9,26.4,2.5,11.4,43,13.6,21.8,33,20.4,33.6,7.5,6.1,8.4,34.2,136.9,61.9,29.1
415,North West,7541,3399,14046,6202,42.1,50.3,5.3,3.1,1.9,5.5,1.3,2.5,2.2,5,5.7,18.8,22.4,7.8,10,6.2,1.7,0.7,98.1,0.5,1.2,0.1,0,79.5,29.8,8.3,11.1,25.6,20.3,3.1,4.1,6.1,29.2,27.5,58.9,27.1
416,London,6613,1354,12578,5073,33.2,40.7,8.2,4.1,2.2,5.2,0.9,1.8,1.6,8.1,13.2,28.7,15.1,3,4.3,2.7,0.7,0.3,59.5,28.8,6.9,1.6,1.1,36,11.5,38.8,23.8,14.2,47.8,6.5,5.7,7.3,48.5,119.2,55.4,25.6
417,London,5341,1624,14077,5881,37.1,43.1,5.8,2.6,1.6,4.1,1,1.8,1.5,7.3,12.6,28.3,17.6,4.4,5.8,3.9,0.9,0.6,68.5,8.5,16.7,6.1,1.7,47.3,19.8,13.5,37.3,10.8,52.6,6.1,4.5,5.9,54.2,67.5,51.2,20
418,London,6507,1393,14202,6092,33.6,40,5.9,3.4,2.1,5.3,1.3,2.1,2,10.5,14.3,25.2,18,2.7,4.1,2.3,0.5,0.2,47.3,40.1,6.7,0.7,0.5,22.1,5.1,52.3,24.2,16,41.3,9.8,7.4,10.1,41.1,128.9,65.8,32
419,Yorkshire and The Humber,10941,7442,14873,6206,38.9,48.4,7,4.2,2,6.3,1.4,2.7,2.7,6.5,6.2,18.4,20.1,6.3,8.8,5.5,1.3,0.6,98.4,0.8,0.5,0.1,0.2,55.8,20.7,37.7,5.6,43.5,9.4,1.8,7,11.2,15.4,21,74.5,42
420,North West,6360,3103,10007,4373,43.5,51.7,4.7,3.3,2,5.7,1.3,2.5,1.9,4.4,4.1,18.6,23.1,8.2,11.4,6.5,1.6,0.9,97.5,0.6,1.6,0.3,0.4,83.3,37.1,5.1,10.5,15.3,39.7,2.9,2.3,3.2,48.5,3.1,45.8,16.4
